ShoesName,Image,Category,Amount,Description
,,,,
Nike Air Force low,images/nikeairforce1.jpeg, Sneakers shoes,2000,Best quality premium shoes 
Nike Air Force high,images/nikeairforce1high.jpeg,Sneakers shoes,3000,Best quality premium shoes 
Adidas casual ,images/adidas1.jpeg,Causal shoes,1500,Best quality premium shoes 
Adidas yeezys,images/adidasyeezys2jpeg,Causal shoes,2000,Best quality premium shoes 
Puma formula 1 edition,images/puma2.jpeg,Riding shoes,1500,Best quality premium shoes 
puma running shoes,images/puma1.jpeg,Sports Shoes,1250,Best quality premium shoes 
Bata shoes limited edition,images/bata1.jpeg,Formal Shoes,1500,Best quality premium shoes 
Bata  formal shoes ,images/bata2.jpeg,Formal Shoes,2500,Best quality premium shoes 
gucci formal shoes,images/guuci1.jpeg,Formal Shoes,5000,Best quality premium shoes 
gucci shoes limited edition,images/gucci2.jpeg,Formal Shoes,5500,Best quality premium shoes 
New Balance causal ,images/nb1.jpeg,Causal shoes,2500,Best quality premium shoes 
New Balance sports ,images/nb2.jpeg,Sports Shoes,3500,Best quality premium shoes 
Reebok running shoes,images/reebok2.jpeg,Sports Shoes,2600,Best quality premium shoes 
Reebok causal shoes,images/reebok1.jpeg,Causal shoes,3500,Best quality premium shoes 
