ShoesName,Image,Category,Amount,Description
,,,,
Nike Air Force 1,images/nike1.jpeg,Casual Shoes,2000,high quality premium shoes
Adidas Starboy Series,images/adidas1.jpeg,Casual Shoes,2500,high quality premium shoes
Puma Lightway Legacy,images/puma1.jpeg,Sports Shoes,3000,high quality premium shoes
Gucci Premium,images/gucci1.jpeg,Formal Shoes,2000,high quality premium shoes
Asics Easy-to-GO,images/asics1.jpeg,Sports Shoes,4000,high quality premium shoes
Nike Jordan 1,images/nike2.jpeg,Sports Shoes,6000,high quality premium shoes
Adidas Sports Series,images/adidas2.jpeg,Sports Shoes,1500,high quality premium shoes
Puma Running Premium,images/puma2.jpeg,Sports Shoes,1500,high quality premium shoes
Gucci Black Snake Series,images/gucci2.jpeg,Formal Shoes,3500,high quality premium shoes
Asics Sports Light Weight,images/asics2.jpeg,Sports Shoes,2000,high quality premium shoes
